"","city","city_ibge_code","date","epidemiological_week","estimated_population_2019","is_last","is_repeated","last_available_confirmed","last_available_confirmed_per_100k_inhabitants","last_available_date","last_available_death_rate","last_available_deaths","new_confirmed","new_deaths","order_for_place","place_type","state"
"1","São Paulo",3550308,"2020-06-28",27,12252023,TRUE,FALSE,124105,1012.93476,"2020-06-28",0.0564,7003,1346,21,125,"city","SP"
"2","São Paulo",3550308,"2020-06-27",26,12252023,FALSE,FALSE,122759,1001.94882,"2020-06-27",0.0569,6982,1596,102,124,"city","SP"
"3","São Paulo",3550308,"2020-06-26",26,12252023,FALSE,FALSE,121163,988.9224,"2020-06-26",0.0568,6880,3852,86,123,"city","SP"
"4","São Paulo",3550308,"2020-06-25",26,12252023,FALSE,FALSE,117311,957.48269,"2020-06-25",0.0579,6794,4050,119,122,"city","SP"
"5","São Paulo",3550308,"2020-06-24",26,12252023,FALSE,FALSE,113261,924.42693,"2020-06-24",0.0589,6675,3047,92,121,"city","SP"
"6","São Paulo",3550308,"2020-06-23",26,12252023,FALSE,FALSE,110214,899.55757,"2020-06-23",0.0597,6583,2483,179,120,"city","SP"
"7","São Paulo",3550308,"2020-06-22",26,12252023,FALSE,FALSE,107731,879.29153,"2020-06-22",0.0594,6404,1191,17,119,"city","SP"
"8","São Paulo",3550308,"2020-06-21",26,12252023,FALSE,FALSE,106540,869.57068,"2020-06-21",0.0599,6387,949,16,118,"city","SP"
"9","São Paulo",3550308,"2020-06-20",25,12252023,FALSE,FALSE,105591,861.82502,"2020-06-20",0.0603,6371,184,116,117,"city","SP"
"10","São Paulo",3550308,"2020-06-19",25,12252023,FALSE,FALSE,105407,860.32323,"2020-06-19",0.0593,6255,6877,158,116,"city","SP"
"11","São Paulo",3550308,"2020-06-18",25,12252023,FALSE,FALSE,98530,804.19372,"2020-06-18",0.0619,6097,398,138,115,"city","SP"
"12","São Paulo",3550308,"2020-06-17",25,12252023,FALSE,FALSE,98132,800.94528,"2020-06-17",0.0607,5959,456,140,114,"city","SP"
"13","São Paulo",3550308,"2020-06-16",25,12252023,FALSE,FALSE,97676,797.22345,"2020-06-16",0.0596,5819,4228,167,113,"city","SP"
"14","São Paulo",3550308,"2020-06-15",25,12252023,FALSE,FALSE,93448,762.71486,"2020-06-15",0.0605,5652,2250,29,112,"city","SP"
"15","São Paulo",3550308,"2020-06-14",25,12252023,FALSE,FALSE,91198,744.35055,"2020-06-14",0.0617,5623,3173,24,111,"city","SP"
"16","São Paulo",3550308,"2020-06-13",24,12252023,FALSE,FALSE,88025,718.45278,"2020-06-13",0.0636,5599,2403,119,110,"city","SP"
"17","São Paulo",3550308,"2020-06-12",24,12252023,FALSE,FALSE,85622,698.83969,"2020-06-12",0.064,5480,2546,123,109,"city","SP"
"18","São Paulo",3550308,"2020-06-11",24,12252023,FALSE,FALSE,83076,678.05945,"2020-06-11",0.0645,5357,2619,125,108,"city","SP"
"19","São Paulo",3550308,"2020-06-10",24,12252023,FALSE,FALSE,80457,656.68339,"2020-06-10",0.065,5232,2431,159,107,"city","SP"
"20","São Paulo",3550308,"2020-06-09",24,12252023,FALSE,FALSE,78026,636.84177,"2020-06-09",0.065,5073,2327,136,106,"city","SP"
"21","São Paulo",3550308,"2020-06-08",24,12252023,FALSE,FALSE,75699,617.84899,"2020-06-08",0.0652,4937,903,17,105,"city","SP"
"22","São Paulo",3550308,"2020-06-07",24,12252023,FALSE,FALSE,74796,610.47878,"2020-06-07",0.0658,4920,935,19,104,"city","SP"
"23","São Paulo",3550308,"2020-06-06",23,12252023,FALSE,FALSE,73861,602.84738,"2020-06-06",0.0664,4901,2408,96,103,"city","SP"
"24","São Paulo",3550308,"2020-06-05",23,12252023,FALSE,FALSE,71453,583.19349,"2020-06-05",0.0672,4805,2106,130,102,"city","SP"
"25","São Paulo",3550308,"2020-06-04",23,12252023,FALSE,FALSE,69347,566.00449,"2020-06-04",0.0674,4675,2570,111,101,"city","SP"
"26","São Paulo",3550308,"2020-06-03",23,12252023,FALSE,FALSE,66777,545.02836,"2020-06-03",0.0683,4564,2334,121,100,"city","SP"
"27","São Paulo",3550308,"2020-06-02",23,12252023,FALSE,FALSE,64443,525.97844,"2020-06-02",0.0689,4443,3317,139,99,"city","SP"
"28","São Paulo",3550308,"2020-06-01",23,12252023,FALSE,FALSE,61126,498.90536,"2020-06-01",0.0704,4304,995,24,98,"city","SP"
"29","São Paulo",3550308,"2020-05-31",23,12252023,FALSE,FALSE,60131,490.78426,"2020-05-31",0.0712,4280,1512,41,97,"city","SP"
"30","São Paulo",3550308,"2020-05-30",22,12252023,FALSE,FALSE,58619,478.44344,"2020-05-30",0.0723,4239,2878,123,96,"city","SP"
"31","São Paulo",3550308,"2020-05-29",22,12252023,FALSE,FALSE,55741,454.95344,"2020-05-29",0.0738,4116,3022,158,95,"city","SP"
"32","São Paulo",3550308,"2020-05-28",22,12252023,FALSE,FALSE,52719,430.28812,"2020-05-28",0.0751,3958,3455,132,94,"city","SP"
"33","São Paulo",3550308,"2020-05-27",22,12252023,FALSE,FALSE,49264,402.0887,"2020-05-27",0.0777,3826,1710,135,93,"city","SP"
"34","São Paulo",3550308,"2020-05-26",22,12252023,FALSE,FALSE,47554,388.13182,"2020-05-26",0.0776,3691,1350,136,92,"city","SP"
"35","São Paulo",3550308,"2020-05-25",22,12252023,FALSE,FALSE,46204,377.11323,"2020-05-25",0.0769,3555,677,21,91,"city","SP"
"36","São Paulo",3550308,"2020-05-24",22,12252023,FALSE,FALSE,45527,371.58761,"2020-05-24",0.0776,3534,640,43,90,"city","SP"
"37","São Paulo",3550308,"2020-05-23",21,12252023,FALSE,FALSE,44887,366.36399,"2020-05-23",0.0778,3491,1914,139,89,"city","SP"
"38","São Paulo",3550308,"2020-05-22",21,12252023,FALSE,FALSE,42973,350.74208,"2020-05-22",0.078,3352,1522,114,88,"city","SP"
"39","São Paulo",3550308,"2020-05-21",21,12252023,FALSE,FALSE,41451,338.31964,"2020-05-21",0.0781,3238,1985,103,87,"city","SP"
"40","São Paulo",3550308,"2020-05-20",21,12252023,FALSE,FALSE,39466,322.11823,"2020-05-20",0.0794,3135,1826,106,86,"city","SP"
"41","São Paulo",3550308,"2020-05-19",21,12252023,FALSE,FALSE,37640,307.21457,"2020-05-19",0.0805,3029,1452,173,85,"city","SP"
"42","São Paulo",3550308,"2020-05-18",21,12252023,FALSE,FALSE,36188,295.36347,"2020-05-18",0.0789,2856,257,21,84,"city","SP"
"43","São Paulo",3550308,"2020-05-17",21,12252023,FALSE,FALSE,35931,293.26585,"2020-05-17",0.0789,2835,502,43,83,"city","SP"
"44","São Paulo",3550308,"2020-05-16",20,12252023,FALSE,FALSE,35429,289.16857,"2020-05-16",0.0788,2792,1437,118,82,"city","SP"
"45","São Paulo",3550308,"2020-05-15",20,12252023,FALSE,FALSE,33992,277.4399,"2020-05-15",0.0787,2674,2119,78,81,"city","SP"
"46","São Paulo",3550308,"2020-05-14",20,12252023,FALSE,FALSE,31873,260.14479,"2020-05-14",0.0814,2596,1471,102,80,"city","SP"
"47","São Paulo",3550308,"2020-05-13",20,12252023,FALSE,FALSE,30402,248.13861,"2020-05-13",0.082,2494,1720,89,79,"city","SP"
"48","São Paulo",3550308,"2020-05-12",20,12252023,FALSE,FALSE,28682,234.10012,"2020-05-12",0.0839,2405,911,124,78,"city","SP"
"49","São Paulo",3550308,"2020-05-11",20,12252023,FALSE,FALSE,27771,226.66461,"2020-05-11",0.0821,2281,464,15,77,"city","SP"
"50","São Paulo",3550308,"2020-05-10",20,12252023,FALSE,FALSE,27307,222.87748,"2020-05-10",0.083,2266,520,43,76,"city","SP"
"51","São Paulo",3550308,"2020-05-09",19,12252023,FALSE,FALSE,26787,218.63328,"2020-05-09",0.083,2223,1420,113,75,"city","SP"
"52","São Paulo",3550308,"2020-05-08",19,12252023,FALSE,FALSE,25367,207.04336,"2020-05-08",0.0832,2110,1094,124,74,"city","SP"
"53","São Paulo",3550308,"2020-05-07",19,12252023,FALSE,FALSE,24273,198.11422,"2020-05-07",0.0818,1986,1086,76,73,"city","SP"
"54","São Paulo",3550308,"2020-05-06",19,12252023,FALSE,FALSE,23187,189.25038,"2020-05-06",0.0824,1910,2047,109,72,"city","SP"
"55","São Paulo",3550308,"2020-05-05",19,12252023,FALSE,FALSE,21140,172.54293,"2020-05-05",0.0852,1801,1067,118,71,"city","SP"
"56","São Paulo",3550308,"2020-05-04",19,12252023,FALSE,FALSE,20073,163.83417,"2020-05-04",0.0838,1683,251,10,70,"city","SP"
"57","São Paulo",3550308,"2020-05-03",19,12252023,FALSE,FALSE,19822,161.78553,"2020-05-03",0.0844,1673,328,12,69,"city","SP"
"58","São Paulo",3550308,"2020-05-02",18,12252023,FALSE,FALSE,19494,159.10842,"2020-05-02",0.0852,1661,407,54,68,"city","SP"
"59","São Paulo",3550308,"2020-05-01",18,12252023,FALSE,FALSE,19087,155.78652,"2020-05-01",0.0842,1607,938,85,67,"city","SP"
"60","São Paulo",3550308,"2020-04-30",18,12252023,FALSE,FALSE,18149,148.13064,"2020-04-30",0.0839,1522,1511,83,66,"city","SP"
"61","São Paulo",3550308,"2020-04-29",18,12252023,FALSE,FALSE,16638,135.79798,"2020-04-29",0.0865,1439,1241,118,65,"city","SP"
"62","São Paulo",3550308,"2020-04-28",18,12252023,FALSE,FALSE,15397,125.66904,"2020-04-28",0.0858,1321,1408,149,64,"city","SP"
"63","São Paulo",3550308,"2020-04-27",18,12252023,FALSE,FALSE,13989,114.17706,"2020-04-27",0.0838,1172,476,58,63,"city","SP"
"64","São Paulo",3550308,"2020-04-26",18,12252023,FALSE,FALSE,13513,110.29199,"2020-04-26",0.0824,1114,415,15,62,"city","SP"
"65","São Paulo",3550308,"2020-04-25",17,12252023,FALSE,FALSE,13098,106.90479,"2020-04-25",0.0839,1099,1298,89,61,"city","SP"
"66","São Paulo",3550308,"2020-04-24",17,12252023,FALSE,FALSE,11800,96.31063,"2020-04-24",0.0856,1010,575,98,60,"city","SP"
"67","São Paulo",3550308,"2020-04-23",17,12252023,FALSE,FALSE,11225,91.61752,"2020-04-23",0.0812,912,534,134,59,"city","SP"
"68","São Paulo",3550308,"2020-04-22",17,12252023,FALSE,FALSE,10691,87.25906,"2020-04-22",0.0728,778,349,25,58,"city","SP"
"69","São Paulo",3550308,"2020-04-21",17,12252023,FALSE,FALSE,10342,84.41055,"2020-04-21",0.0728,753,527,38,57,"city","SP"
"70","São Paulo",3550308,"2020-04-20",17,12252023,FALSE,FALSE,9815,80.10922,"2020-04-20",0.0728,715,147,15,56,"city","SP"
"71","São Paulo",3550308,"2020-04-19",17,12252023,FALSE,FALSE,9668,78.90942,"2020-04-19",0.0724,700,240,14,55,"city","SP"
"72","São Paulo",3550308,"2020-04-18",16,12252023,FALSE,FALSE,9428,76.95056,"2020-04-18",0.0728,686,684,43,54,"city","SP"
"73","São Paulo",3550308,"2020-04-17",16,12252023,FALSE,FALSE,8744,71.36781,"2020-04-17",0.0735,643,836,40,53,"city","SP"
"74","São Paulo",3550308,"2020-04-16",16,12252023,FALSE,FALSE,7908,64.54444,"2020-04-16",0.0763,603,144,45,52,"city","SP"
"75","São Paulo",3550308,"2020-04-15",16,12252023,FALSE,FALSE,7764,63.36913,"2020-04-15",0.0719,558,1059,46,51,"city","SP"
"76","São Paulo",3550308,"2020-04-14",16,12252023,FALSE,FALSE,6705,54.72566,"2020-04-14",0.0764,512,287,56,50,"city","SP"
"77","São Paulo",3550308,"2020-04-13",16,12252023,FALSE,FALSE,6418,52.38319,"2020-04-13",0.0711,456,66,11,49,"city","SP"
"78","São Paulo",3550308,"2020-04-12",16,12252023,FALSE,FALSE,6352,51.8445,"2020-04-12",0.0701,445,221,23,48,"city","SP"
"79","São Paulo",3550308,"2020-04-11",15,12252023,FALSE,FALSE,6131,50.04072,"2020-04-11",0.0688,422,149,13,47,"city","SP"
"80","São Paulo",3550308,"2020-04-10",15,12252023,FALSE,FALSE,5982,48.82459,"2020-04-10",0.0684,409,505,25,46,"city","SP"
"81","São Paulo",3550308,"2020-04-09",15,12252023,FALSE,FALSE,5477,44.70282,"2020-04-09",0.0701,384,530,45,45,"city","SP"
"82","São Paulo",3550308,"2020-04-08",15,12252023,FALSE,FALSE,4947,40.37701,"2020-04-08",0.0685,339,689,43,44,"city","SP"
"83","São Paulo",3550308,"2020-04-07",15,12252023,FALSE,FALSE,4258,34.75344,"2020-04-07",0.0695,296,504,52,43,"city","SP"
"84","São Paulo",3550308,"2020-04-06",15,12252023,FALSE,FALSE,3754,30.63984,"2020-04-06",0.065,244,142,24,42,"city","SP"
"85","São Paulo",3550308,"2020-04-05",15,12252023,FALSE,FALSE,3612,29.48085,"2020-04-05",0.0609,220,116,8,41,"city","SP"
"86","São Paulo",3550308,"2020-04-04",14,12252023,FALSE,FALSE,3496,28.53406,"2020-04-04",0.0606,212,294,26,40,"city","SP"
"87","São Paulo",3550308,"2020-04-03",14,12252023,FALSE,FALSE,3202,26.13446,"2020-04-03",0.0581,186,387,22,39,"city","SP"
"88","São Paulo",3550308,"2020-04-02",14,12252023,FALSE,FALSE,2815,22.9758,"2020-04-02",0.0583,164,397,20,38,"city","SP"
"89","São Paulo",3550308,"2020-04-01",14,12252023,FALSE,FALSE,2418,19.73552,"2020-04-01",0.0596,144,533,23,37,"city","SP"
"90","São Paulo",3550308,"2020-03-31",14,12252023,FALSE,FALSE,1885,15.38521,"2020-03-31",0.0642,121,652,18,36,"city","SP"
"91","São Paulo",3550308,"2020-03-30",14,12252023,FALSE,FALSE,1233,10.06364,"2020-03-30",0.0835,103,189,41,35,"city","SP"
"92","São Paulo",3550308,"2020-03-29",14,12252023,FALSE,TRUE,1044,8.52104,"2020-03-27",0.0594,62,0,0,34,"city","SP"
"93","São Paulo",3550308,"2020-03-28",13,12252023,FALSE,TRUE,1044,8.52104,"2020-03-27",0.0594,62,0,0,33,"city","SP"
"94","São Paulo",3550308,"2020-03-27",13,12252023,FALSE,FALSE,1044,8.52104,"2020-03-27",0.0594,62,145,9,32,"city","SP"
"95","São Paulo",3550308,"2020-03-26",13,12252023,FALSE,FALSE,899,7.33756,"2020-03-26",0.059,53,177,9,31,"city","SP"
"96","São Paulo",3550308,"2020-03-25",13,12252023,FALSE,FALSE,722,5.8929,"2020-03-25",0.0609,44,416,35,30,"city","SP"
"97","São Paulo",3550308,"2020-03-24",13,12252023,FALSE,TRUE,306,2.49755,"2020-03-20",0.0294,9,0,0,29,"city","SP"
"98","São Paulo",3550308,"2020-03-23",13,12252023,FALSE,TRUE,306,2.49755,"2020-03-20",0.0294,9,0,0,28,"city","SP"
"99","São Paulo",3550308,"2020-03-22",13,12252023,FALSE,TRUE,306,2.49755,"2020-03-20",0.0294,9,0,0,27,"city","SP"
"100","São Paulo",3550308,"2020-03-21",12,12252023,FALSE,TRUE,306,2.49755,"2020-03-20",0.0294,9,0,0,26,"city","SP"
"101","São Paulo",3550308,"2020-03-20",12,12252023,FALSE,FALSE,306,2.49755,"2020-03-20",0.0294,9,47,4,25,"city","SP"
"102","São Paulo",3550308,"2020-03-19",12,12252023,FALSE,FALSE,259,2.11394,"2020-03-19",0.0193,5,45,2,24,"city","SP"
"103","São Paulo",3550308,"2020-03-18",12,12252023,FALSE,FALSE,214,1.74665,"2020-03-18",0.014,3,58,2,23,"city","SP"
"104","São Paulo",3550308,"2020-03-17",12,12252023,FALSE,FALSE,156,1.27326,"2020-03-17",0.0064,1,11,1,22,"city","SP"
"105","São Paulo",3550308,"2020-03-16",12,12252023,FALSE,FALSE,145,1.18348,"2020-03-16",0,0,83,0,21,"city","SP"
"106","São Paulo",3550308,"2020-03-15",12,12252023,FALSE,TRUE,62,0.50604,"2020-03-14",0,0,0,0,20,"city","SP"
"107","São Paulo",3550308,"2020-03-14",11,12252023,FALSE,FALSE,62,0.50604,"2020-03-14",0,0,18,0,19,"city","SP"
"108","São Paulo",3550308,"2020-03-13",11,12252023,FALSE,TRUE,44,0.35912,"2020-03-12",0,0,0,0,18,"city","SP"
"109","São Paulo",3550308,"2020-03-12",11,12252023,FALSE,FALSE,44,0.35912,"2020-03-12",0,0,15,0,17,"city","SP"
"110","São Paulo",3550308,"2020-03-11",11,12252023,FALSE,FALSE,29,0.2367,"2020-03-11",0,0,11,0,16,"city","SP"
"111","São Paulo",3550308,"2020-03-10",11,12252023,FALSE,FALSE,18,0.14691,"2020-03-10",0,0,3,0,15,"city","SP"
"112","São Paulo",3550308,"2020-03-09",11,12252023,FALSE,FALSE,15,0.12243,"2020-03-09",0,0,0,0,14,"city","SP"
"113","São Paulo",3550308,"2020-03-08",11,12252023,FALSE,FALSE,15,0.12243,"2020-03-08",0,0,3,0,13,"city","SP"
"114","São Paulo",3550308,"2020-03-07",10,12252023,FALSE,FALSE,12,0.09794,"2020-03-07",0,0,6,0,12,"city","SP"
"115","São Paulo",3550308,"2020-03-06",10,12252023,FALSE,TRUE,6,0.04897,"2020-03-05",0,0,0,0,11,"city","SP"
"116","São Paulo",3550308,"2020-03-05",10,12252023,FALSE,FALSE,6,0.04897,"2020-03-05",0,0,3,0,10,"city","SP"
"117","São Paulo",3550308,"2020-03-04",10,12252023,FALSE,FALSE,3,0.02449,"2020-03-04",0,0,1,0,9,"city","SP"
"118","São Paulo",3550308,"2020-03-03",10,12252023,FALSE,FALSE,2,0.01632,"2020-03-03",0,0,0,0,8,"city","SP"
"119","São Paulo",3550308,"2020-03-02",10,12252023,FALSE,FALSE,2,0.01632,"2020-03-02",0,0,0,0,7,"city","SP"
"120","São Paulo",3550308,"2020-03-01",10,12252023,FALSE,FALSE,2,0.01632,"2020-03-01",0,0,0,0,6,"city","SP"
"121","São Paulo",3550308,"2020-02-29",9,12252023,FALSE,FALSE,2,0.01632,"2020-02-29",0,0,0,0,5,"city","SP"
"122","São Paulo",3550308,"2020-02-28",9,12252023,FALSE,FALSE,2,0.01632,"2020-02-28",0,0,1,0,4,"city","SP"
"123","São Paulo",3550308,"2020-02-27",9,12252023,FALSE,FALSE,1,0.00816,"2020-02-27",0,0,0,0,3,"city","SP"
"124","São Paulo",3550308,"2020-02-26",9,12252023,FALSE,FALSE,1,0.00816,"2020-02-26",0,0,0,0,2,"city","SP"
"125","São Paulo",3550308,"2020-02-25",9,12252023,FALSE,FALSE,1,0.00816,"2020-02-25",0,0,1,0,1,"city","SP"
